ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,created_by,title,7_What_type_of_mill_,9_How_many_times_did,10_How_many_litres_o,11_How_much_did_you_,13_Have_you_paid_you,14_How_much_was_the_,16_Did_you_make_any_,17_What_type_of_repa,18_How_much_did_you_,19_How_much_did_you_,21_Did_you_have_any_,22_If_yes_what_was_t,23_How_much_did_you_
790a12b9-2ba7-4153-b176-d5ebb7844a06,c293c831-8ae1-475f-a597-bef4e9f83b8c,2022-06-24T10:26:57.302Z,2022-06-25T01:39:27.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,60,45,No,0,No,,0,0,No,,0
380fd19f-b2b1-4c7a-85d6-8c8a754c5258,98bb7144-a6d9-4eb6-82f3-037c338a1d31,2022-06-23T09:02:24.277Z,2022-06-24T17:21:38.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,60,44,No,0,No,,0,0,No,,0
814495c1-266f-4ce3-b52f-6272c404e8d8,41ec71f9-a542-4a96-b8d4-88a0d238dc44,2022-06-22T06:58:28.794Z,2022-06-22T18:58:31.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,1000
39a44c37-df53-4aae-a80d-86e3c8c48fa7,61a20de4-91bb-41d5-90ab-53824626f980,2022-06-22T06:55:54.008Z,2022-06-22T18:55:32.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,1000
1a9d31d5-0bce-48ef-a3ed-402f2ba95b7c,1d20ebfe-72b7-43a7-84c4-0abf6f058c8e,2022-06-20T07:38:18.923Z,2022-06-20T16:25:24.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,No,,0
a0e340da-5203-44d6-ac7a-1ab638956c5c,dfac5591-911d-441f-a95e-17c1b4dad5e4,2022-06-17T08:54:12.384Z,2022-06-17T17:51:45.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,3,90,40,No,0,No,,0,0,Yes,Worker salary,500
109df88c-61cf-44a7-8cbd-4f75a21b5dd9,048077b5-06d7-4300-966a-e7942cc02b17,2022-06-17T08:32:03.183Z,2022-06-17T18:37:55.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,No,,0
96598943-467c-49c8-8637-93fe6dac9d7e,a8d32692-eeff-4466-a800-756cf55da46d,2022-06-16T12:44:17.953Z,2022-06-16T14:09:13.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,28,45,No,0,Yes,Stone part,500,28000,Yes,Sallary,1500
7299f43f-5835-4d6e-abcc-9008da86c71b,382b1083-b3d9-49b5-98b2-b0b921e327cb,2022-06-16T07:34:17.113Z,2022-06-16T19:02:07.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,Yes,le serategna,540
3a506be6-74ab-4410-9b69-ca6ea5a9f4c2,7f37492e-ae1d-4a2c-b55c-d69246d31bd0,2022-06-16T07:32:10.918Z,2022-06-16T18:57:59.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,Yes,le serategna,540
3c1d723f-90e3-4b65-9d0a-eb39ae828b98,27d00309-6cbe-46b2-8b32-9ab95edf7d1b,2022-06-16T07:16:03.347Z,2022-06-17T04:00:38.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,45,43,No,0,No,,0,0,No,,0
fea1a248-ed29-4706-b64c-5a4081b0104c,c5a75970-a1dc-4bd7-a790-81b3829ebab5,2022-06-15T08:46:53.055Z,2022-06-15T17:26:18.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,4,80,40,No,0,No,,0,0,No,,0
62aa83d7-5d0c-4ed4-9db3-ac776c1e210d,6edc511a-85e8-458a-86d0-8c782c06318b,2022-06-15T07:40:19.240Z,2022-06-15T19:05:36.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,No,,0
8580a7f6-09ad-4c78-af7d-32325bf11076,faca2c3d-507e-47f5-b7b8-342c40ec9e6e,2022-06-13T07:11:25.879Z,2022-06-13T19:25:24.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,360
1f3f1c09-ee75-47b8-81c0-de3fa4a0a18b,547da0c0-2ff7-428f-bcdf-4d6b486f136d,2022-06-13T07:10:22.290Z,2022-06-13T19:21:45.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,360
bfd8a07e-083a-4cbe-aa20-32b42e9274db,f30014bd-e25e-43ff-89fc-d7290f4bfd94,2022-06-10T11:33:18.616Z,2022-06-12T23:23:25.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,28,45,No,0,No,,0,0,Yes,Sallary,1500
e726917d-4bbd-4d4b-912f-2207630cbad7,28c7cbff-d9b6-4948-8605-597233d85559,2022-06-10T07:25:28.729Z,2022-06-10T19:10:50.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,Yes,le serategna,540
ff4e9d52-60d9-4532-af67-a83d1d675ec5,791729bb-6083-4ce0-9d86-1a8f388f5243,2022-06-10T07:23:33.270Z,2022-06-10T19:08:57.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,Yes,le serategna,540
56c175f7-6c76-4f16-beaa-1c332f551f4a,00f115b8-f2cd-46e1-a93a-7e3090838608,2022-06-09T09:15:10.266Z,2022-06-10T12:51:07.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,60,44,No,0,No,,0,0,Yes,Worker Salary,800
8e5d5e6e-e962-4cfe-a686-cb8e2afc8415,5d2c89cc-db15-48d2-a805-08a3e724adb0,2022-06-09T07:22:27.293Z,2022-06-09T19:40:21.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,No,,0
21c364ef-2869-4ea7-ae37-efa65b565262,0b06b703-2b9c-49c3-a523-83a8f06c4f83,2022-06-08T09:07:43.166Z,2022-06-09T00:52:12.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,2,60,39,No,0,Yes,"Boleja,chinga",800,5500,Yes,Worker salary,700
