Timestamp,Value
="2021-09-20 00:17:57",0
="2021-09-20 00:27:57",0
="2021-09-20 00:37:57",0
="2021-09-20 00:47:57",0
="2021-09-20 00:57:57",0
="2021-09-20 01:07:57",0
="2021-09-20 01:17:57",0
="2021-09-20 01:27:57",0
="2021-09-20 01:37:57",0
="2021-09-20 01:47:57",0
="2021-09-20 01:57:57",0
="2021-09-20 02:07:57",0
="2021-09-20 02:17:57",0
="2021-09-20 02:27:57",0
="2021-09-20 02:37:57",0
="2021-09-20 02:47:57",0
="2021-09-20 02:57:57",0
="2021-09-20 03:07:57",0
="2021-09-20 03:17:57",0
="2021-09-20 03:27:57",0
="2021-09-20 03:37:57",0
="2021-09-20 03:47:57",0
="2021-09-20 03:57:57",0
="2021-09-20 04:07:57",0
="2021-09-20 04:17:57",0
="2021-09-20 04:27:57",0
="2021-09-20 04:37:57",0
="2021-09-20 04:47:57",0
="2021-09-20 04:57:57",0
="2021-09-20 05:07:57",0
="2021-09-20 05:17:57",0
="2021-09-20 05:27:57",0
="2021-09-20 05:37:57",0
="2021-09-20 05:47:57",0
="2021-09-20 05:57:57",0
="2021-09-20 06:07:57",0
="2021-09-20 06:17:57",0
="2021-09-20 06:27:57",0
="2021-09-20 06:37:57",0
="2021-09-20 06:47:57",0
="2021-09-20 06:57:57",0
="2021-09-20 07:07:57",0
="2021-09-20 07:17:57",0
="2021-09-20 07:27:57",0
="2021-09-20 07:37:57",0
="2021-09-20 07:47:57",0
="2021-09-20 07:57:57",0
="2021-09-20 08:07:57",0
="2021-09-20 08:17:57",0
="2021-09-20 08:27:57",0
="2021-09-20 08:37:57",0
="2021-09-20 08:47:57",0
="2021-09-20 08:57:57",0
="2021-09-20 09:07:57",0
="2021-09-20 09:17:57",0
="2021-09-20 09:27:57",0
="2021-09-20 09:37:57",0
="2021-09-20 09:47:57",0
="2021-09-20 09:57:57",0
="2021-09-20 10:07:57",0
="2021-09-20 10:17:57",0
="2021-09-20 10:27:57",0
="2021-09-20 10:37:57",0
="2021-09-20 10:47:57",0
="2021-09-20 10:57:57",0
="2021-09-20 11:07:57",0
="2021-09-20 11:17:57",0
="2021-09-20 11:27:57",0
="2021-09-20 11:37:57",0
="2021-09-20 11:47:57",0
="2021-09-20 11:57:57",0
="2021-09-20 12:07:57",0
="2021-09-20 12:17:57",0
="2021-09-20 12:27:57",0
="2021-09-20 12:37:57",0
="2021-09-20 12:47:57",0
="2021-09-20 12:57:57",0
="2021-09-20 13:07:57",0
="2021-09-20 13:17:57",0
="2021-09-20 13:27:57",0
="2021-09-20 13:37:57",0
="2021-09-20 13:47:57",0
="2021-09-20 13:57:57",0
="2021-09-20 14:07:57",0
="2021-09-20 14:17:57",0
="2021-09-20 14:27:57",0
="2021-09-20 14:37:57",0
="2021-09-20 14:47:57",0
="2021-09-20 14:57:57",0
="2021-09-20 15:07:57",0
="2021-09-20 15:17:57",0
="2021-09-20 15:27:57",0
="2021-09-20 15:37:57",0
="2021-09-20 15:47:57",0
="2021-09-20 15:57:57",0
="2021-09-20 16:07:57",0
="2021-09-20 16:17:57",0
="2021-09-20 16:27:57",0
="2021-09-20 16:37:57",0
="2021-09-20 16:47:57",0
="2021-09-20 16:57:57",0
="2021-09-20 17:07:57",0
="2021-09-20 17:17:57",0
="2021-09-20 17:27:57",0
="2021-09-20 17:37:57",0
="2021-09-20 17:47:57",0
="2021-09-20 17:57:57",0
="2021-09-20 18:07:57",0
="2021-09-20 18:17:57",0
="2021-09-20 18:27:57",0
="2021-09-20 18:37:57",0
="2021-09-20 18:47:57",0
="2021-09-20 18:57:57",0
="2021-09-20 19:07:57",0
="2021-09-20 19:17:57",0
="2021-09-20 19:27:57",0
="2021-09-20 19:37:57",0
="2021-09-20 19:47:57",0
="2021-09-20 19:57:57",0
="2021-09-20 20:07:57",0
="2021-09-20 20:17:57",0
="2021-09-20 20:27:57",0
="2021-09-20 20:37:57",0
="2021-09-20 20:47:57",0
="2021-09-20 20:57:57",0
="2021-09-20 21:07:57",0
="2021-09-20 21:17:57",0
="2021-09-20 21:27:57",0
="2021-09-20 21:37:57",0
="2021-09-20 21:47:57",0
="2021-09-20 21:57:57",0
="2021-09-20 22:07:57",0
="2021-09-20 22:17:57",0
="2021-09-20 22:27:57",0
="2021-09-20 22:37:57",0
="2021-09-20 22:47:57",0
="2021-09-20 22:57:57",0
="2021-09-20 23:07:57",0
="2021-09-20 23:17:57",0
="2021-09-20 23:27:57",0
="2021-09-20 23:37:57",0
="2021-09-20 23:47:57",0
="2021-09-20 23:57:57",0
="2021-09-21 00:07:57",0
="2021-09-21 00:17:57",0
="2021-09-21 00:27:57",0
="2021-09-21 00:37:57",0
="2021-09-21 00:47:57",0
="2021-09-21 00:57:57",0
="2021-09-21 01:07:57",0
="2021-09-21 01:17:57",0
="2021-09-21 01:27:57",0
="2021-09-21 01:37:57",0
="2021-09-21 01:47:57",0
="2021-09-21 01:57:57",0
="2021-09-21 02:07:57",0
="2021-09-21 02:17:57",0
="2021-09-21 02:27:57",0
="2021-09-21 02:37:57",0
="2021-09-21 02:47:57",0
="2021-09-21 02:57:57",0
="2021-09-21 03:07:57",0
="2021-09-21 03:17:57",0
="2021-09-21 03:27:57",0
="2021-09-21 03:37:57",0
="2021-09-21 03:47:57",0
="2021-09-21 03:57:57",0
="2021-09-21 04:07:57",0
="2021-09-21 04:17:57",0
="2021-09-21 04:27:57",0
="2021-09-21 04:37:57",0
="2021-09-21 04:47:57",0
="2021-09-21 04:57:57",0
="2021-09-21 05:07:57",0
="2021-09-21 05:17:57",0
="2021-09-21 05:27:57",0
="2021-09-21 05:37:57",0
="2021-09-21 05:47:57",0
="2021-09-21 05:57:57",0
="2021-09-21 06:07:57",0
="2021-09-21 06:17:57",0
="2021-09-21 06:27:57",0
="2021-09-21 06:37:57",0
="2021-09-21 06:47:57",0
="2021-09-21 06:57:57",0
="2021-09-21 07:07:57",0
="2021-09-21 07:17:57",0
="2021-09-21 07:27:57",0
="2021-09-21 07:37:57",0
="2021-09-21 07:47:57",0
="2021-09-21 07:57:57",0
="2021-09-21 08:07:57",0
="2021-09-21 08:17:57",0
="2021-09-21 08:27:57",0
="2021-09-21 08:37:57",0
="2021-09-21 08:47:57",0
="2021-09-21 08:57:57",0
="2021-09-21 09:07:57",0
="2021-09-21 09:17:57",0
="2021-09-21 09:27:57",0
="2021-09-21 09:37:57",0
="2021-09-21 09:47:57",0
="2021-09-21 09:57:57",0
="2021-09-21 10:07:57",0
="2021-09-21 10:17:57",0
="2021-09-21 10:27:57",0
="2021-09-21 10:37:57",0
="2021-09-21 10:47:57",0
="2021-09-21 10:57:57",0
="2021-09-21 11:07:57",0
="2021-09-21 11:17:57",0
="2021-09-21 11:27:57",0
="2021-09-21 11:37:57",0
="2021-09-21 11:47:57",0
="2021-09-21 11:57:57",0
="2021-09-21 12:07:57",0
="2021-09-21 12:17:57",0
="2021-09-21 12:27:57",0
="2021-09-21 12:37:57",0
="2021-09-21 12:47:57",0
="2021-09-21 12:57:57",0
="2021-09-21 13:07:57",0
="2021-09-21 13:17:57",0
="2021-09-21 13:27:57",0
="2021-09-21 13:37:57",0
="2021-09-21 13:47:57",0
="2021-09-21 13:57:57",0
="2021-09-21 14:07:57",0
="2021-09-21 14:17:57",0
="2021-09-21 14:27:57",0
="2021-09-21 14:37:57",0
