Timestamp,Value
="2021-09-20 00:11:18",0
="2021-09-20 00:21:18",0.8
="2021-09-20 00:31:18",7.7
="2021-09-20 00:41:18",140.1
="2021-09-20 00:51:18",247
="2021-09-20 01:01:18",0
="2021-09-20 01:11:18",0
="2021-09-20 01:21:18",49.3
="2021-09-20 01:31:18",601
="2021-09-20 01:41:18",206.8
="2021-09-20 01:51:18",0
="2021-09-20 02:01:18",176.2
="2021-09-20 02:11:18",587
="2021-09-20 02:21:18",577.9
="2021-09-20 02:31:18",578.4
="2021-09-20 02:41:18",585.1
="2021-09-20 02:51:18",588.8
="2021-09-20 03:01:18",594.3
="2021-09-20 03:11:18",567.7
="2021-09-20 03:21:18",566
="2021-09-20 03:31:18",571.1
="2021-09-20 03:41:18",571.6
="2021-09-20 03:51:18",572.7
="2021-09-20 04:01:18",602.1
="2021-09-20 04:11:18",597
="2021-09-20 04:21:18",611.8
="2021-09-20 04:31:18",609.2
="2021-09-20 04:41:18",618.5
="2021-09-20 04:51:18",576.1
="2021-09-20 05:01:18",572.6
="2021-09-20 05:11:18",569.8
="2021-09-20 05:21:18",570.4
="2021-09-20 05:31:18",576.6
="2021-09-20 05:41:18",573.5
="2021-09-20 05:51:18",557.4
="2021-09-20 06:01:18",573.6
="2021-09-20 06:11:18",572.2
="2021-09-20 06:21:18",579.6
="2021-09-20 06:31:18",571.2
="2021-09-20 06:41:18",586.4
="2021-09-20 06:51:18",582.9
="2021-09-20 07:01:18",572.4
="2021-09-20 07:11:18",597
="2021-09-20 07:21:18",582.1
="2021-09-20 07:31:18",572
="2021-09-20 07:41:18",568.6
="2021-09-20 07:51:18",237.9
="2021-09-20 08:01:18",0
="2021-09-20 08:11:18",0
="2021-09-20 08:21:18",0
="2021-09-20 08:31:18",0
="2021-09-20 08:41:18",0
="2021-09-20 08:51:18",0
="2021-09-20 09:01:18",0
="2021-09-20 09:11:18",0
="2021-09-20 09:21:18",0
="2021-09-20 09:31:18",0
="2021-09-20 09:41:18",0
="2021-09-20 09:51:18",0
="2021-09-20 10:01:18",0
="2021-09-20 10:11:18",0
="2021-09-20 10:21:18",0
="2021-09-20 10:31:18",0
="2021-09-20 10:41:18",0
="2021-09-20 10:51:18",0
="2021-09-20 11:01:18",0
="2021-09-20 11:11:18",0
="2021-09-20 11:21:18",0
="2021-09-20 11:31:18",0
="2021-09-20 11:41:18",0
="2021-09-20 11:51:18",0
="2021-09-20 12:01:18",0
="2021-09-20 12:11:18",0
="2021-09-20 12:21:18",0
="2021-09-20 12:31:18",0
="2021-09-20 12:41:18",0
="2021-09-20 12:51:18",0
="2021-09-20 13:01:18",0
="2021-09-20 13:11:18",0
="2021-09-20 13:21:18",0
="2021-09-20 13:31:18",0
="2021-09-20 13:41:18",0
="2021-09-20 13:51:18",0
="2021-09-20 14:01:18",0
="2021-09-20 14:11:18",0
="2021-09-20 14:21:18",0
="2021-09-20 14:31:18",0
="2021-09-20 14:41:18",0
="2021-09-20 14:51:18",0
="2021-09-20 15:01:18",0
="2021-09-20 15:11:18",0
="2021-09-20 15:21:18",0
="2021-09-20 15:31:18",0
="2021-09-20 15:41:18",0
="2021-09-20 15:51:18",0
="2021-09-20 16:01:18",0
="2021-09-20 16:11:18",0
="2021-09-20 16:21:18",0
="2021-09-20 16:31:18",0
="2021-09-20 16:41:18",0
="2021-09-20 16:51:18",0
="2021-09-20 17:01:18",0
="2021-09-20 17:11:18",0
="2021-09-20 17:21:18",0
="2021-09-20 17:31:18",0
="2021-09-20 17:41:18",0
="2021-09-20 17:51:18",0
="2021-09-20 18:01:18",0
="2021-09-20 18:11:18",0
="2021-09-20 18:21:18",0
="2021-09-20 18:31:18",0
="2021-09-20 18:41:18",0
="2021-09-20 18:51:18",0
="2021-09-20 19:01:18",0
="2021-09-20 19:11:18",0
="2021-09-20 19:21:18",0
="2021-09-20 19:31:18",0
="2021-09-20 19:41:18",0
="2021-09-20 19:51:18",0
="2021-09-20 20:01:18",0
="2021-09-20 20:11:18",0
="2021-09-20 20:21:18",0
="2021-09-20 20:31:18",0
="2021-09-20 20:41:18",0
="2021-09-20 20:51:18",0
="2021-09-20 21:01:18",0
="2021-09-20 21:11:18",0
="2021-09-20 21:21:18",0
="2021-09-20 21:31:18",0
="2021-09-20 21:41:18",0
="2021-09-20 21:51:18",0
="2021-09-20 22:01:18",0
="2021-09-20 22:11:18",0
="2021-09-20 22:21:18",0
="2021-09-20 22:31:18",0
="2021-09-20 22:41:18",0
="2021-09-20 22:51:18",0
="2021-09-20 23:01:18",0
="2021-09-20 23:11:18",0
="2021-09-20 23:21:18",0
="2021-09-20 23:31:18",0
="2021-09-20 23:41:18",0
="2021-09-20 23:51:18",0
="2021-09-21 00:01:18",0
="2021-09-21 00:11:18",0
="2021-09-21 00:21:18",0
="2021-09-21 00:31:18",0
="2021-09-21 00:41:18",0
="2021-09-21 00:51:18",0
="2021-09-21 01:01:18",0
="2021-09-21 01:11:18",0
="2021-09-21 01:21:18",0
="2021-09-21 01:31:18",0
="2021-09-21 01:41:18",0
="2021-09-21 01:51:18",0
="2021-09-21 02:01:18",0
="2021-09-21 02:11:18",0
="2021-09-21 02:21:18",0
="2021-09-21 02:31:18",0
="2021-09-21 02:41:18",0
="2021-09-21 02:51:18",0
="2021-09-21 03:01:19",0
="2021-09-21 03:11:19",0
="2021-09-21 03:21:19",0
="2021-09-21 03:31:19",0
="2021-09-21 03:41:19",0
="2021-09-21 03:51:19",0
="2021-09-21 04:01:19",0
="2021-09-21 04:11:19",0
="2021-09-21 04:21:19",0
="2021-09-21 04:31:19",0
="2021-09-21 04:41:19",0
="2021-09-21 04:51:19",0
="2021-09-21 05:01:19",0
="2021-09-21 05:11:19",0
="2021-09-21 05:21:19",0
="2021-09-21 05:31:19",0
="2021-09-21 05:41:19",0
="2021-09-21 05:51:19",0
="2021-09-21 06:01:19",0
="2021-09-21 06:11:19",0
="2021-09-21 06:21:19",0
="2021-09-21 06:31:19",0
="2021-09-21 06:41:19",0
="2021-09-21 06:51:19",0
="2021-09-21 07:01:19",0
="2021-09-21 07:11:19",0
="2021-09-21 07:21:19",0
="2021-09-21 07:31:19",0
="2021-09-21 07:41:19",0
="2021-09-21 07:51:19",0
="2021-09-21 08:01:19",0
="2021-09-21 08:11:19",0
="2021-09-21 08:21:19",0
="2021-09-21 08:31:19",0
="2021-09-21 08:41:19",0
="2021-09-21 08:51:19",0
="2021-09-21 09:01:19",0
="2021-09-21 09:11:19",0
="2021-09-21 09:21:19",0
="2021-09-21 09:31:19",0
="2021-09-21 09:41:19",0
="2021-09-21 09:51:19",0
="2021-09-21 10:01:19",0
="2021-09-21 10:11:19",0
="2021-09-21 10:21:19",0
="2021-09-21 10:31:19",0
="2021-09-21 10:41:19",0
="2021-09-21 10:51:19",0
="2021-09-21 11:01:19",0
="2021-09-21 11:11:19",0
="2021-09-21 11:21:19",0
="2021-09-21 11:31:19",0
="2021-09-21 11:41:19",0
="2021-09-21 11:51:19",0
="2021-09-21 12:01:19",0
="2021-09-21 12:11:19",0
