Timestamp,Value
="2021-09-20 00:15:13",0
="2021-09-20 00:25:13",0
="2021-09-20 00:35:13",0
="2021-09-20 00:45:13",0
="2021-09-20 00:55:13",0
="2021-09-20 01:05:13",0
="2021-09-20 01:15:13",0
="2021-09-20 01:25:13",0
="2021-09-20 01:35:13",0
="2021-09-20 01:45:13",0
="2021-09-20 01:55:13",0
="2021-09-20 02:05:13",0
="2021-09-20 02:15:13",0
="2021-09-20 02:25:13",0
="2021-09-20 02:35:13",0
="2021-09-20 02:45:13",0
="2021-09-20 02:55:13",0
="2021-09-20 03:05:13",0
="2021-09-20 03:15:13",0
="2021-09-20 03:25:13",0
="2021-09-20 03:35:13",0
="2021-09-20 03:45:13",0
="2021-09-20 03:55:13",0
="2021-09-20 04:05:13",0
="2021-09-20 04:15:13",0
="2021-09-20 04:25:13",0
="2021-09-20 04:35:13",0
="2021-09-20 04:45:13",0
="2021-09-20 04:55:13",0
="2021-09-20 05:05:13",0
="2021-09-20 05:15:13",0
="2021-09-20 05:25:13",0
="2021-09-20 05:35:13",0
="2021-09-20 05:45:13",0
="2021-09-20 05:55:13",0
="2021-09-20 06:05:13",0
="2021-09-20 06:15:13",0
="2021-09-20 06:25:13",0
="2021-09-20 06:35:13",0
="2021-09-20 06:45:13",0
="2021-09-20 06:55:13",0
="2021-09-20 07:05:13",0
="2021-09-20 07:15:13",0
="2021-09-20 07:25:13",0
="2021-09-20 07:35:13",0
="2021-09-20 07:45:13",0
="2021-09-20 07:55:13",0
="2021-09-20 08:05:13",0
="2021-09-20 08:15:13",0
="2021-09-20 08:25:13",0
="2021-09-20 08:35:13",0
="2021-09-20 08:45:13",0
="2021-09-20 08:55:13",0
="2021-09-20 09:05:13",0
="2021-09-20 09:15:13",0
="2021-09-20 09:25:13",0
="2021-09-20 09:35:13",0
="2021-09-20 09:45:13",0
="2021-09-20 09:55:13",0
="2021-09-20 10:05:13",0
="2021-09-20 10:15:13",0
="2021-09-20 10:25:13",0
="2021-09-20 10:35:13",0
="2021-09-20 10:45:13",0
="2021-09-20 10:55:13",0
="2021-09-20 11:05:13",0
="2021-09-20 11:15:13",0
="2021-09-20 11:25:13",0
="2021-09-20 11:35:13",0
="2021-09-20 11:45:13",0
="2021-09-20 11:55:13",0
="2021-09-20 12:05:13",0
="2021-09-20 12:15:13",0
="2021-09-20 12:25:13",0
="2021-09-20 12:35:13",0
="2021-09-20 12:45:13",0
="2021-09-20 12:55:13",0
="2021-09-20 13:05:13",0
="2021-09-20 13:15:13",0
="2021-09-20 13:25:13",0
="2021-09-20 13:35:13",0
="2021-09-20 13:45:13",0
="2021-09-20 13:55:13",0
="2021-09-20 14:05:13",0
="2021-09-20 14:15:13",0
="2021-09-20 14:25:13",0
="2021-09-20 14:35:13",0
="2021-09-20 14:45:13",0
="2021-09-20 14:55:13",0
="2021-09-20 15:05:13",0
="2021-09-20 15:15:13",0
="2021-09-20 15:25:13",0
="2021-09-20 15:35:13",0
="2021-09-20 15:45:13",0
="2021-09-20 15:55:13",0
="2021-09-20 16:05:13",0
="2021-09-20 16:15:13",0
="2021-09-20 16:25:13",0
="2021-09-20 16:35:13",0
="2021-09-20 16:45:13",0
